FECHA_ID,UBICACION_ID,IPM_POBREZA,IPM_SIN_SALUD,IPM_SIN_ACCESO_SALUD,NIVEL_SISBEN,PROPORCION_RURAL,EDUCACIÓN_NETA_TOTAL,INGRESOS TOTALES,PCTE_POBLACION_RURAL
1,335,0,0,0,0,0,0.89,8193.65,0
1,336,0,0,0,0,0,0.88,2992.01,0
1,337,0,0,0,0,0,1.13,5219.18,0
1,338,0,0,0,0,0,0.81,11334.66,0
1,339,0,0,0,0,0,0.88,17377.29,0
1,340,0,0,0,0,0,0.81,19764.76,0
1,341,0,0,0,0,0,0.78,6221.73,0
1,342,0,0,0,0,0,0.75,9539.95,0
1,343,0,0,0,0,0,0.91,12051.77,0
1,344,0,0,0,0,0,0.84,5307.58,0
1,345,0,0,0,0,0,0.57,46539.43,0
1,346,0,0,0,0,0,0.86,13742.09,0
1,347,0,0,0,0,0,0.78,6806.97,0
1,348,0,0,0,0,0,0.91,3859.62,0
1,349,0,0,0,0,0,0.91,19295.86,0
1,350,0,0,0,0,0,0.86,315245.59,0
1,351,0,0,0,0,0,0.89,4840.41,0
1,352,0,0,0,0,0,0.85,5560.22,0
1,353,0,0,0,0,0,0.75,9647.7,0
1,354,0,0,0,0,0,0.9,6895.51,0
1,355,0,0,0,0,0,0.9,6411.76,0
1,356,0,0,0,0,0,0.77,5972.18,0
1,357,0,0,0,0,0,0.92,26761.38,0
1,358,0,0,0,0,0,0.92,7124.82,0
1,359,0,0,0,0,0,0.87,4138.84,0
1,360,0,0,0,0,0,0.85,3702.65,0
1,361,0,0,0,0,0,0.78,17444.82,0
1,362,0,0,0,0,0,1.21,6145.48,0
1,363,0,0,0,0,0,0.77,37840.81,0
1,364,0,0,0,0,0,0.78,9542.86,0
1,365,0,0,0,0,0,1.01,5686.28,0
1,366,0,0,0,0,0,0.83,12592.39,0
1,367,0,0,0,0,0,0.93,7769.7,0
1,368,0,0,0,0,0,0.75,5228.53,0
1,369,0,0,0,0,0,1.16,10436.22,0
1,370,0,0,0,0,0,0.99,34597.81,0
1,371,0,0,0,0,0,0.89,16535.04,0
1,372,0,0,0,0,0,0.8,12594.08,0
1,373,0,0,0,0,0,0.86,7158.37,0
1,374,0,0,0,0,0,0.89,30157.44,0
1,375,0,0,0,0,0,0.8,16711.29,0
1,376,0,0,0,0,0,1.08,14532.62,0
1,377,0,0,0,0,0,0,7545.91,0
1,378,0,0,0,0,0,0.75,163460.83,0
1,379,0,0,0,0,0,0.87,12168.06,0
1,380,0,0,0,0,0,1.02,11632.88,0
1,381,0,0,0,0,0,0.93,3787.59,0
1,382,0,0,0,0,0,0.87,25911.46,0
1,383,0,0,0,0,0,0.98,6115.41,0
1,384,0,0,0,0,0,0.88,5041.84,0
1,385,0,0,0,0,0,0.76,19255.93,0
1,386,0,0,0,0,0,1,12785.46,0
1,387,0,0,0,0,0,0.72,8648.15,0
1,388,0,0,0,0,0,0.84,5836.05,0
1,389,0,0,0,0,0,1,4144.64,0
1,390,0,0,0,0,0,0.91,7626.7,0
1,391,0,0,0,0,0,0.84,9472.94,0
1,392,0,0,0,0,0,0.87,25143.02,0
1,393,0,0,0,0,0,0.93,27739.08,0
1,394,0,0,0,0,0,1.16,6752.76,0
1,395,0,0,0,0,0,0.88,8188.25,0
1,396,0,0,0,0,0,0.9,4617.43,0
1,397,0,0,0,0,0,1.14,9552.46,0
1,398,0,0,0,0,0,0.88,23595.41,0
1,399,0,0,0,0,0,1.1,2633710.5,0
1,400,0,0,0,0,0,0.91,5343.54,0
1,401,0,0,0,0,0,1.07,6502.67,0
1,402,0,0,0,0,0,0.84,9862.59,0
1,403,0,0,0,0,0,0.67,7119.71,0
1,404,0,0,0,0,0,0.88,18499.87,0
1,405,0,0,0,0,0,0.95,22550.11,0
1,406,0,0,0,0,0,0.8,3791.76,0
1,407,0,0,0,0,0,0.82,6060.16,0
1,408,0,0,0,0,0,0.92,11922.1,0
1,409,0,0,0,0,0,0.89,4975.33,0
1,410,0,0,0,0,0,0.9,21769.87,0
1,411,0,0,0,0,0,0.75,15259.95,0
1,412,0,0,0,0,0,0.82,14164.84,0
1,413,0,0,0,0,0,0.98,17101.59,0
1,414,0,0,0,0,0,0.98,17129.75,0
1,415,0,0,0,0,0,0.84,136932.14,0
1,416,0,0,0,0,0,1.24,5520.45,0
1,417,0,0,0,0,0,1.13,52882.11,0
1,418,0,0,0,0,0,0.81,7894.91,0
1,419,0,0,0,0,0,0.85,16938.49,0
